an,sem,nrcrt,nume_disciplina,nume_engl,sapt,formapred,numarore,categdisc,obligativ,orestudindiv,examin,credite,nume_nota,nume_catedra,numes_fac,nume_pachet,facultate,specializare,profil_facultate,nivel
1,1,1,Bazele cercetarii experimentale                                                                                         ,Basics of Experimental Research                                                                                                                       ,14,CURS      ,2,DA   ,DI,69,examen                        ,5,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master
1,1,1,Bazele cercetarii experimentale                                                                                         ,Basics of Experimental Research                                                                                                                       ,14,LABORATOR ,2,DA   ,DI,69,examen                        ,5,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master
1,1,2,Sisteme si echipamente avansate utilizate in constructia motoarelor pentru automobile                                   ,Advanced Sistems and Equipment Esed for Internal Combustion Engines of Automobiles                                                                    ,14,CURS      ,2,DS   ,DI,94,examen                        ,6,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master
1,1,2,Sisteme si echipamente avansate utilizate in constructia motoarelor pentru automobile                                   ,Advanced Sistems and Equipment Esed for Internal Combustion Engines of Automobiles                                                                    ,14,PROIECT   ,1,DS   ,DI,94,examen                        ,6,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master
1,1,2,Sisteme si echipamente avansate utilizate in constructia motoarelor pentru automobile                                   ,Advanced Sistems and Equipment Esed for Internal Combustion Engines of Automobiles                                                                    ,14,LABORATOR ,1,DS   ,DI,94,examen                        ,6,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master
1,1,3,Ingineria si legislatia mediului                                                                                        ,Environment Engineering and Legislation                                                                                                               ,14,SEMINAR   ,2,DA   ,DI,83,examen                        ,5,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master
1,1,3,Ingineria si legislatia mediului                                                                                        ,Environment Engineering and Legislation                                                                                                               ,14,CURS      ,1,DA   ,DI,83,examen                        ,5,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master
1,1,4.1,Energii alternative cu poluare redusa pentru automobile                                                                 ,Alternative Energy Sources for Low Pollution Vehicles                                                                                                 ,14,CURS      ,2,DS   ,DO,58,examen                        ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,OPTIONAL I,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master
1,1,4.1,Energii alternative cu poluare redusa pentru automobile                                                                 ,Alternative Energy Sources for Low Pollution Vehicles                                                                                                 ,14,LABORATOR ,1,DS   ,DO,58,examen                        ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,OPTIONAL I,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master
1,1,4.2,Sisteme alternative de propulsie pentru automobile                                                                      ,Vehicle Alternative Propulsion Systems                                                                                                                ,14,LABORATOR ,1,DS   ,DO,58,examen                        ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,OPTIONAL I,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master
