,an,sem,nrcrt,nume_disciplina,nume_engl,sapt,CURS,numarore,categdisc,obligativ,orestudindiv,examen,credite,nume_nota,nume_catedra,numes_fac,nume_pachet,facultate,specializare,profil_facultate,nivel,LABORATOR,email,PROIECT,SEMINAR,PRACTICA,PRAC.PROI.,(NEPRECIZ)
0,1,1,1,Bazele cercetarii experimentale                                                                                         ,Basics of Experimental Research                                                                                                                       ,14,2,2,DA   ,DI,69,examen                        ,5,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,2,Marius.Gheres@auto.utcluj.ro,,,,,
1,1,1,2,Sisteme si echipamente avansate utilizate in constructia motoarelor pentru automobile                                   ,Advanced Sistems and Equipment Esed for Internal Combustion Engines of Automobiles                                                                    ,14,2,1,DS   ,DI,94,examen                        ,6,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,1,Nicolae.Vlad.BURNETE@auto.utcluj.ro,1,,,,
2,1,1,3,Ingineria si legislatia mediului                                                                                        ,Environment Engineering and Legislation                                                                                                               ,14,1,1,DA   ,DI,83,examen                        ,5,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,Aurel.Chereches@auto.utcluj.ro,,2,,,
3,1,1,4.1,Energii alternative cu poluare redusa pentru automobile                                                                 ,Alternative Energy Sources for Low Pollution Vehicles                                                                                                 ,14,2,1,DS   ,DO,58,examen                        ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,OPTIONAL I,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,1,,,,,,
4,1,1,4.2,Sisteme alternative de propulsie pentru automobile                                                                      ,Vehicle Alternative Propulsion Systems                                                                                                                ,14,2,2,DS   ,DO,58,examen                        ,4,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,OPTIONAL I,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,1,Bogdan.Varga@auto.utcluj.ro,,,,,
5,1,1,5,Activitate de cercetare-proiectare 1                                                                                    ,Research Activity 1                                                                                                                                   ,14,,14,DA   ,DI,54,colocviu                      ,10,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,,,14,,
6,1,1,301,Voluntariat 1                                                                                                           ,Volunteering 1                                                                                                                                        ,14,,1,DC   ,Dfac,36,verificare                    ,2,A/R       ,Catedra neprecizata                                                                                 ,          ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,,,,1,,,
7,1,2,6,Tehnici avansate in diagnosticarea automobilelor                                                                        ,Advanced Technics of Vehicle Diagnosis                                                                                                                ,14,2,2,DS   ,DI,69,examen                        ,5,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,2,nicuvlad2@gmail.com,,,,,
8,1,2,7,"Materiale biodegradabile, lubrifianti si combustibili ecologici pentru automobile                                       ","Vehicle Biodegradable Materials, Lubricants and Ecological Fuels                                                                                      ",14,2,2,DS   ,DI,83,examen                        ,5,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,1,Istvan.Barabas@auto.utcluj.ro,,,,,
9,1,2,8,Sisteme si echipamente avansate utilizate in constructia automobilelor                                                  ,Advanced Systems and Equipment for Vehicle Structure                                                                                                  ,14,2,1,DS   ,DI,94,examen                        ,6,Nota      ,Autovehicule rutiere si transporturi                                                                ,ARMM      ,comun,"Facultatea de Autovehicule Rutiere, Mecatronica si Mecanica",Automobilul si mediul - (masA1)                                                                     ,Ingineria Autovehiculelor - (lic+mas)                                                               ,master,1,Levente.KOCSIS@auto.utcluj.ro,1,,,,
